"","Subject","Trial","Condition","SS1vSS2top","SS1amount","SS1delay","LL1amount","LL1delay","SS2amount","SS2delay","LL2amount","LL2delay","TrialStart","RT","TrialOver","Choice","Run","Day"
"3434",116,59,36,0,12.93,21,3.5,63,11.02,21,5.47,63,114.3971,1.8091,2.3309,0,2,"Fast"
"3435",116,60,12,0,11.56,0,3.5,63,9.85,0,5.47,63,116.7582,2.1844,2.6963,0,2,"Fast"
"3436",116,61,45,0,13.22,21,4,84,11.27,21,6.26,84,119.4851,1.2011,1.7156,0,2,"Fast"
"3437",116,62,42,0,8.15,21,7.44,84,6.44,21,9.41,84,121.231,1.4078,1.9317,0,2,"Fast"
"3438",116,63,35,1,9.41,21,8.51,42,7.44,21,10.76,42,123.193,1.1095,1.6326,0,2,"Fast"
"3439",116,64,32,1,14.38,21,1.53,42,12.53,21,3.5,42,124.8558,1.0016,1.5158,0,2,"Fast"
"3440",116,65,19,0,12.36,7,1.53,28,10.77,7,3.5,28,126.4021,1.0017,1.516,0,2,"Fast"
"3441",116,66,15,1,9.32,0,8.51,63,7.37,0,10.76,63,127.9485,1.33,1.8485,0,2,"Fast"
"3442",116,67,10,1,15.32,0,1.75,42,13.35,0,4,42,129.8274,1.2508,1.7651,0,2,"Fast"
"3443",116,68,41,0,14.82,21,1.53,84,12.91,21,3.5,84,131.6232,1.1107,1.6322,0,2,"Fast"
"3444",116,69,18,0,11.67,7,3.5,28,9.95,7,5.47,28,133.2857,1.089,1.5992,0,2,"Fast"
"3445",116,70,37,1,12.53,21,3.5,63,10.68,21,5.47,63,134.9152,1.1793,1.6989,0,2,"Fast"
"3446",116,71,44,0,9.81,21,1.53,84,8.55,21,3.5,84,136.6447,1.4489,1.9647,0,2,"Fast"
"3447",116,72,33,0,11.67,21,3.5,42,9.95,21,5.47,42,138.64,1.0063,1.5328,0,2,"Fast"
"3448",116,73,8,1,11.67,0,3.5,42,9.95,0,5.47,42,140.2029,1.0114,1.5327,0,2,"Fast"
"3449",116,74,40,0,13.35,21,4,63,11.38,21,6.26,63,141.7659,1.1446,1.6653,0,2,"Fast"
